ArraySize,S,Average Comparisons,Performance (ns)
1000000,73,29971033,211243100
1000000,74,29964132,382056900
1000000,75,29972077,578193600
1000000,76,29960565,372050700
1000000,77,29985784,372041400
1000000,78,29979425,377806000
1000000,79,29990261,328762600
1000000,80,29979088,502331100
1000000,81,29968008,575420400
1000000,82,29990880,439561100
1000000,83,29986912,305208100
1000000,84,29969792,545456200
1000000,85,29982827,522392000
1000000,86,29979736,529435100
1000000,87,29987338,491701900
1000000,88,29991771,500751200
1000000,89,29987611,493355700
1000000,90,29962823,508267700
1000000,91,29970175,514676200
1000000,92,29981482,506421000
1000000,93,29975939,489403300
1000000,94,29997192,509178900
1000000,95,29978651,482336600
1000000,96,29975403,510079500
1000000,97,29994922,494707000
1000000,98,29971971,444061900
1000000,99,29981747,521307300
1000000,100,29971687,473638000
10000000,1,226393607,8436677700
10000000,2,226925730,7473957600
10000000,3,226602243,7494561100
10000000,4,225798621,3254242800
10000000,5,225799767,2601171200
10000000,6,225799412,2645486000
10000000,7,225803458,2486378900
10000000,8,227091437,2401467600
10000000,9,229435519,2318436900
10000000,10,229438428,2443594200
10000000,11,229436051,2334435500
10000000,12,229435760,2430342300
10000000,13,229440688,2398001600
10000000,14,229443137,2327936400
10000000,15,229437697,2307585500
10000000,16,229442273,2409685900
10000000,17,229447328,2332479400
10000000,18,242969641,2267087500
10000000,19,244182711,2276256700
10000000,20,244177935,2267430300
10000000,21,244195527,2211935700
10000000,22,244164756,2324326800
10000000,23,244157130,2230811700
10000000,24,244183189,2493508200
10000000,25,244170057,2227823300
10000000,26,244163381,2363944100
10000000,27,244173188,2207684900
10000000,28,244175787,2263307600
10000000,29,244175673,2408060000
10000000,30,244184284,2278581000
10000000,31,244174874,2217674500
10000000,32,244177173,2251319500
10000000,33,244183584,2281242300
10000000,34,244187638,2201097300
10000000,35,244194058,2281029500
10000000,36,244163384,2244029800
10000000,37,276458439,2420109800
10000000,38,282340308,2488507900
10000000,39,282351363,2384102800
10000000,40,282370902,2247269000
10000000,41,282366410,2238536200
10000000,42,282372267,2300560400
10000000,43,282410387,2231201100
10000000,44,282341752,2254440100
10000000,45,282363762,2436100400
10000000,46,282402173,2220931400
10000000,47,282354243,2265227400
10000000,48,282377930,2227428500
10000000,49,282350059,2289252200
10000000,50,282348076,2251835300
10000000,51,282373853,2236426800
10000000,52,282350340,2248189800
10000000,53,282328169,2220577900
10000000,54,282355474,2269666700
10000000,55,282399160,2304026400
10000000,56,282364327,2210596200
10000000,57,282325221,2218841700
10000000,58,282316584,2241806000
10000000,59,282356283,2219821700
10000000,60,282376342,2222374500
10000000,61,282346004,2203762200
10000000,62,282346076,2379037700
10000000,63,282364171,2222934200
10000000,64,282340745,2235583000
10000000,65,282337593,2240679600
10000000,66,282363563,2230156400
10000000,67,282374819,2239277600
10000000,68,282358459,2184173100
10000000,69,282365129,2274961200
10000000,70,282327520,2210202500
10000000,71,282353968,2351967900
10000000,72,282372612,2346659700
10000000,73,282381315,2272947900
10000000,74,282362948,2249725900
10000000,75,342344103,2529552800
10000000,76,367981229,2373226900
10000000,77,367995468,2388819600
10000000,78,367929755,2390482900
10000000,79,368000657,2398684900
10000000,80,368045144,2363446400
